year,name,country,country_iso3,net_worth_usd
2024,Elon Musk,South Africa Canada United States,NA,839000000000
2024,Larry Page,United States,USA,269000000000
2024,Sergey Brin,United States,USA,237000000000
2024,Jeff Bezos,United States,USA,259000000000
2024,Mark Zuckerberg,United States,USA,252000000000
2024,Larry Ellison,United States,USA,198000000000
2024,Bernard Arnault & family,France,FRA,174000000000
2024,Jensen Huang,United States,USA,154000000000
2024,Warren Buffett,United States,USA,149000000000
2024,Amancio Ortega,Spain,ESP,148000000000
