year,month,full_name,first_name,last_name,gender,birth_date,age,country_citizenship,country_citizenship_iso3,country_residence,country_residence_iso3,city_of_residence,net_worth_usd,wealth_status,self_made,business_category,business_industries,organization_name,position_in_organization,rank
2024,4,A. Jayson Adair,A. Jayson,Adair,male,1969-10-16,54,United States,USA,United States,USA,Dallas,2000000000,Increased,TRUE,Automotive,['Automotive'],NA,NA,1623
2017,3,A. Jerrold Perenchio,A. Jerrold,Perenchio,male,1930-12-20,86,United States,USA,NA,NA,NA,2800000000,Increased,TRUE,Media & Entertainment,['Media & Entertainment'],Chartwell Leisure,Founder & Owner,717
2012,3,Abdul Aziz Al Ghurair & family,Abdul Aziz,Al Ghurair,male,1954-07-01,57,United Arab Emirates,ARE,NA,NA,NA,2900000000,Increased,FALSE,Finance,['Finance'],NA,NA,401
2017,3,Abdul Majeed Alhokair,Abdul Majeed,Alhokair,male,1970-01-01,47,Saudi Arabia,SAU,Saudi Arabia,SAU,Riyadh,1200000000,Returned to List,TRUE,Fashion & Retail,['Fashion & Retail'],NA,NA,1678
2016,3,Abdul Rasyid,Rasyid,Abdul,male,1958-01-01,58,Indonesia,IDN,Singapore,SGP,Singapore,1100000000,NA,TRUE,Manufacturing,['Manufacturing'],NA,Entrepreneur,1577
2016,3,Abdulla Al Futtaim,Abdulla,Al Futtaim,male,NA,NA,United Arab Emirates,ARE,United Arab Emirates,ARE,Dubai,3100000000,Decreased,FALSE,Automotive,['Automotive'],NA,NA,549
2024,4,Abdulla Al Futtaim & family,Abdulla,Al Futtaim,male,1940-01-01,84,United Arab Emirates,ARE,United Arab Emirates,ARE,Dubai,3300000000,Increased,FALSE,Automotive,['Automotive'],NA,NA,991
2024,4,Abdulla bin Ahmad Al Ghurair & family,Abdulla bin Ahmad,Al Ghurair,male,NA,NA,United Arab Emirates,ARE,United Arab Emirates,ARE,Dubai,3900000000,Increased,FALSE,Diversified,['Diversified'],NA,Athlete,809
2011,3,Abdullah Al Rajhi,Abdullah,Al Rajhi,male,NA,0,Saudi Arabia,SAU,Saudi Arabia,SAU,Riyadh,2500000000,Increased,FALSE,NA,['Finance'],NA,NA,459
2017,3,Abdullah Al Rajhi & family,Abdullah,Al Rajhi,male,NA,NA,Saudi Arabia,SAU,Saudi Arabia,SAU,Riyadh,1900000000,Increased,FALSE,Finance and Investments,['Finance and Investments'],NA,NA,1098
2024,4,Abdulsamad Rabiu,Abdulsamad,Rabiu,male,1960-08-04,63,Nigeria,NGA,Nigeria,NGA,Lagos,5200000000,Decreased,FALSE,Diversified,['Diversified'],NA,NA,581
2024,4,Abhay Firodia,Abhay,Firodia,male,1944-11-05,79,India,IND,India,IND,Pune,4300000000,Increased,FALSE,Automotive,['Automotive'],NA,NA,734
2024,4,Abhay Soi,Abhay,Soi,male,1973-08-19,50,India,IND,India,IND,Mumbai,2000000000,Increased,TRUE,Healthcare,['Healthcare'],NA,NA,1623
2021,4,Abhay Vakil & family,Abhay,Vakil,male,1950-10-29,70,India,IND,India,IND,Mumbai,4600000000,Increased,FALSE,Manufacturing,['Manufacturing'],NA,NA,622
2024,4,Abigail Bennett,Abigail,Bennett,female,1980-12-27,43,United States,USA,United States,USA,Rochester,1100000000,Remained Even,FALSE,Food & Beverage,['Food & Beverage'],NA,NA,2545
2024,4,Abigail Johnson,Abigail,Johnson,female,1961-12-19,62,United States,USA,United States,USA,Milton,29000000000,Increased,FALSE,Finance & Investments,['Finance & Investments'],Fidelity Investments,Chairman & CEO,58
2023,4,Abilio dos Santos Diniz,Abilio dos Santos,Diniz,male,1936-12-28,86,Brazil,BRA,Brazil,BRA,Sao Paulo,2400000000,Decreased,FALSE,Fashion & Retail,['Fashion & Retail'],NA,NA,1272
