year,country_residence_iso3,n_billionaires,total_wealth,median_wealth,median_age,share_self_made
1997,THA,1,2000000000,2000000000,73,0
1997,NA,1,1800000000,1800000000,69,0
1998,LBN,1,3300000000,3300000000,65,1
1999,BRA,1,1000000000,1000000000,NA,1
1999,CHE,1,2900000000,2900000000,53,0
1999,COL,1,1300000000,1300000000,68,1
1999,DEU,1,7100000000,7100000000,59,1
1999,GBR,1,1000000000,1000000000,NA,0
1999,HKG,1,1100000000,1100000000,71,0
1999,NA,2,4300000000,2150000000,65.5,0.5
2000,BRA,1,1000000000,1000000000,NA,1
2000,CHE,1,1900000000,1900000000,54,0
2000,GBR,1,4500000000,4500000000,NA,0
2000,JPN,3,3800000000,1200000000,59,1
2000,MCO,1,2900000000,2900000000,45,0
2000,NA,1,2100000000,2100000000,66,1
2001,ARE,1,1900000000,1900000000,47,NA
2001,ARG,1,1700000000,1700000000,66,NA
2001,AUS,1,2200000000,2200000000,70,NA
2001,BEL,1,1000000000,1000000000,75,NA
2001,BMU,1,5400000000,5400000000,75,NA
2001,BRA,4,9700000000,2300000000,64.5,NA
2001,CAN,7,19700000000,2700000000,59,1
2001,CHE,7,28300000000,3300000000,55,0
2001,CHL,1,1300000000,1300000000,55,NA
2001,CHN,1,3400000000,3400000000,60,NA
2001,COL,1,1500000000,1500000000,68,NA
2001,DEU,13,60800000000,4000000000,61,NA
2001,DNK,1,1900000000,1900000000,53,NA
2001,EGY,1,1000000000,1000000000,71,NA
2001,ESP,5,11000000000,1000000000,65,NA
2001,FRA,9,51600000000,4900000000,64,NA
2001,GBR,10,29300000000,2150000000,60,0.5
2001,GRC,1,4600000000,4600000000,54,NA
2001,HKG,10,40600000000,1800000000,64.5,0
2001,IND,3,10800000000,2200000000,55,NA
2001,IRL,1,2100000000,2100000000,57,NA
2001,ISR,3,6800000000,1600000000,35,NA
2001,ITA,8,31400000000,2400000000,66,0
2001,JPN,13,39000000000,3300000000,60,1
2001,KOR,2,2600000000,1300000000,50,NA
2001,MEX,8,24100000000,1850000000,52,NA
2001,MYS,4,7300000000,1300000000,64,NA
2001,NOR,2,2600000000,1300000000,50,NA
2001,PHL,2,2500000000,1250000000,71,NA
2001,PRT,1,1000000000,1000000000,63,NA
2001,RUS,5,7400000000,1400000000,40,NA
2001,SAU,3,25100000000,3000000000,60,NA
2001,SGP,1,1000000000,1000000000,72,NA
2001,SWE,5,36000000000,7700000000,58,NA
2001,THA,1,1200000000,1200000000,51,0
2001,TUR,3,8200000000,2500000000,47,NA
2001,TWN,2,3400000000,1700000000,26,NA
2001,USA,179,691600000000,2000000000,61,0
2001,VEN,2,9800000000,4900000000,45.5,NA
2001,ZAF,2,5800000000,2900000000,53.5,NA
2001,NA,9,19300000000,1300000000,58,0
2002,ARE,1,1800000000,1800000000,48,NA
2002,ARG,1,1000000000,1000000000,67,NA
2002,AUS,1,2100000000,2100000000,71,NA
2002,BEL,2,2700000000,1350000000,75.5,NA
2002,BHS,1,1100000000,1100000000,65,NA
2002,BMU,1,5600000000,5600000000,75,NA
2002,BRA,4,8800000000,2050000000,69.5,NA
2002,CAN,8,19400000000,2250000000,65.5,1
2002,CHE,12,54200000000,3400000000,56,0
2002,CHL,1,1500000000,1500000000,56,NA
2002,CHN,1,1000000000,1000000000,53,NA
2002,COL,1,1100000000,1100000000,69,NA
2002,DEU,13,51000000000,2600000000,61,NA
2002,DNK,1,2100000000,2100000000,54,NA
2002,ESP,4,12600000000,1250000000,58.5,NA
2002,FRA,8,38800000000,3700000000,64.5,NA
2002,GBR,12,43700000000,2000000000,57.5,NA
2002,HKG,9,37700000000,3100000000,73,NA
2002,IND,3,9700000000,2100000000,56,NA
2002,IRL,1,2200000000,2200000000,58,NA
2002,ISR,2,4300000000,2150000000,39,NA
2002,ITA,7,24600000000,2000000000,65,0
2002,JPN,12,23400000000,1700000000,60.5,NA
2002,KOR,1,2500000000,2500000000,60,NA
2002,MCO,3,4800000000,1400000000,35,0
2002,MEX,7,22700000000,1600000000,59,NA
2002,MYS,3,4000000000,1300000000,63,NA
2002,NOR,1,1300000000,1300000000,45,NA
2002,PHL,4,5300000000,1300000000,68,0
2002,RUS,6,11100000000,1700000000,38.5,NA
2002,SAU,4,25900000000,2200000000,58,NA
2002,SGP,1,1200000000,1200000000,73,NA
2002,SWE,3,8000000000,1400000000,59,NA
2002,THA,2,2300000000,1150000000,57,0
2002,TUR,4,9800000000,2400000000,47,NA
2002,TWN,1,1700000000,1700000000,52,NA
2002,USA,172,623400000000,1800000000,61,0
2002,VEN,2,9400000000,4700000000,46,NA
2002,ZAF,2,4400000000,2200000000,53.5,NA
2002,NA,11,25300000000,1800000000,61.5,0.14285714285714285
2003,ARE,1,2000000000,2000000000,49,NA
2003,ARG,1,1600000000,1600000000,68,NA
2003,AUS,1,1800000000,1800000000,72,NA
2003,AUT,1,1000000000,1000000000,58,NA
2003,BEL,2,4500000000,2250000000,76.5,NA
2003,BHS,1,1100000000,1100000000,66,NA
2003,BMU,1,5700000000,5700000000,76,NA
2003,BRA,2,3900000000,1950000000,74.5,NA
2003,CAN,10,23000000000,1950000000,64,1
2003,CHE,14,59300000000,2800000000,57,0
2003,CHL,1,1400000000,1400000000,57,NA
2003,COL,1,1000000000,1000000000,70,NA
2003,DEU,20,50300000000,2100000000,61,NA
2003,DNK,1,2300000000,2300000000,55,NA
2003,ESP,5,15500000000,1300000000,59,NA
2003,FRA,8,36200000000,3000000000,65.5,NA
2003,GBR,12,36300000000,2150000000,63.5,NA
2003,HKG,8,28800000000,3350000000,74.5,NA
2003,IND,6,15200000000,2200000000,57,NA
2003,IRL,1,2300000000,2300000000,59,NA
2003,ISR,2,3400000000,1700000000,59,NA
2003,ITA,6,20400000000,3150000000,66.5,0
2003,JPN,10,21400000000,1750000000,64.5,NA
2003,KOR,1,2800000000,2800000000,61,NA
2003,MCO,2,3300000000,1650000000,33,NA
2003,MEX,6,16600000000,1650000000,61.5,NA
2003,MYS,2,3100000000,1550000000,63,NA
2003,NLD,2,2100000000,1050000000,54,NA
2003,NOR,1,1000000000,1000000000,46,NA
2003,PHL,2,3100000000,1550000000,73,NA
2003,RUS,11,23500000000,1500000000,38,0
2003,SAU,4,23600000000,2200000000,59,NA
2003,SGP,2,2900000000,1450000000,76,0
2003,SWE,2,10300000000,5150000000,57,NA
2003,THA,1,1300000000,1300000000,63,NA
2003,TUR,3,4800000000,1800000000,47,NA
2003,TWN,1,1600000000,1600000000,0,NA
2003,USA,164,554700000000,1800000000,62,0
2003,VEN,2,8300000000,4150000000,47,NA
2003,ZAF,2,4200000000,2100000000,54.5,NA
2003,NA,9,22800000000,1800000000,48,0
2004,ARE,1,3700000000,3700000000,50,NA
2004,ARG,1,1600000000,1600000000,69,NA
2004,AUS,3,4800000000,1300000000,71,NA
2004,AUT,3,7100000000,2700000000,63,NA
2004,BEL,2,4900000000,2450000000,77.5,NA
2004,BHS,1,1600000000,1600000000,67,NA
2004,BMU,1,5900000000,5900000000,77,NA
2004,BRA,4,6800000000,1400000000,67.5,NA
2004,CAN,12,32000000000,2050000000,65,1
2004,CHE,15,73600000000,2900000000,66,0
2004,CHL,1,2800000000,2800000000,58,NA
2004,CHN,1,1100000000,1100000000,62,NA
2004,COL,1,1400000000,1400000000,71,NA
2004,DEU,27,107800000000,2600000000,60,NA
2004,DNK,1,2500000000,2500000000,56,NA
2004,ESP,6,17300000000,1650000000,56.5,0
2004,FRA,8,54600000000,5150000000,66.5,NA
2004,GBR,14,51000000000,2700000000,58,NA
2004,HKG,13,51800000000,2300000000,59,0
2004,IND,8,25700000000,2500000000,54,NA
2004,IRL,1,2400000000,2400000000,60,NA
2004,ISR,4,8700000000,1550000000,53.5,0
2004,ITA,7,28400000000,2200000000,67,0
2004,JPN,13,33800000000,2400000000,61,1
2004,KOR,1,3400000000,3400000000,62,NA
2004,MCO,4,9400000000,1700000000,57,NA
2004,MEX,6,25800000000,2150000000,62.5,NA
2004,MYS,3,6300000000,2100000000,65,NA
2004,NLD,2,3100000000,1550000000,55,NA
2004,NOR,4,6500000000,1800000000,66.5,NA
2004,PHL,2,2900000000,1450000000,74,NA
2004,PRT,1,1200000000,1200000000,65,NA
2004,RUS,18,54700000000,2300000000,42.5,0
2004,SAU,4,27300000000,2250000000,60,NA
2004,SGP,3,5100000000,1800000000,75,0
2004,SWE,5,17500000000,1400000000,56,NA
2004,THA,1,1700000000,1700000000,64,NA
2004,TUR,4,6100000000,1200000000,44,NA
2004,TWN,4,7600000000,1800000000,27,NA
2004,USA,203,712200000000,1800000000,63,0
2004,VEN,2,8700000000,4350000000,48,NA
2004,ZAF,2,6100000000,3050000000,55.5,NA
2004,NA,15,35800000000,1600000000,72,0
2005,ARE,1,3900000000,3900000000,51,NA
2005,ARG,1,1700000000,1700000000,70,NA
2005,AUS,4,7200000000,1300000000,71,NA
2005,AUT,3,8000000000,2900000000,64,NA
2005,BEL,2,10300000000,5150000000,78.5,NA
2005,BHS,1,1600000000,1600000000,68,NA
2005,BRA,7,13400000000,1600000000,68,NA
2005,CAN,12,36800000000,2350000000,66,1
2005,CHE,15,86600000000,3800000000,70.5,0
2005,CHL,1,2700000000,2700000000,59,NA
2005,CHN,1,1600000000,1600000000,63,NA
2005,COL,1,2700000000,2700000000,72,NA
2005,CYM,1,2300000000,2300000000,58,NA
2005,DEU,33,118300000000,2300000000,60,NA
2005,DNK,1,2500000000,2500000000,57,NA
2005,EGY,1,5200000000,5200000000,75,NA
2005,ESP,8,25300000000,1950000000,62,0
2005,FRA,11,67600000000,4800000000,67,NA
2005,GBR,19,86900000000,2700000000,54,NA
2005,HKG,15,61700000000,2100000000,59,0
2005,IDN,1,2000000000,2000000000,64,NA
2005,IND,8,32200000000,3250000000,54,NA
2005,IRL,1,2500000000,2500000000,61,NA
2005,ISR,5,12300000000,2200000000,60,0
2005,ITA,7,42000000000,4500000000,68,0
2005,JPN,14,42000000000,2750000000,64.5,1
2005,KAZ,3,3000000000,1000000000,51,NA
2005,KOR,2,5800000000,2900000000,65,NA
2005,MCO,4,11900000000,2300000000,65,NA
2005,MEX,7,37300000000,2600000000,63,NA
2005,MYS,4,9700000000,2350000000,67.5,NA
2005,NLD,3,5600000000,2000000000,63,NA
2005,NOR,4,8200000000,1800000000,67,NA
2005,PHL,3,5100000000,1700000000,70,0
2005,POL,2,2000000000,1000000000,51.5,NA
2005,PRT,1,1700000000,1700000000,67,NA
2005,RUS,25,74500000000,2100000000,44,0
2005,SAU,5,35600000000,2600000000,59,NA
2005,SGP,3,5800000000,2300000000,76,0
2005,SWE,5,21400000000,2000000000,57,NA
2005,THA,2,4700000000,2350000000,62.5,NA
2005,TUR,7,14900000000,1100000000,60,NA
2005,TWN,4,8700000000,2100000000,65,NA
2005,UKR,2,3700000000,1850000000,41,NA
2005,USA,254,824200000000,1700000000,63,0
2005,VEN,2,9100000000,4550000000,49,NA
2005,ZAF,2,8300000000,4150000000,56.5,NA
2005,NA,12,37100000000,3050000000,73,0
2006,ARE,3,9300000000,1400000000,0,NA
2006,ARG,1,1700000000,1700000000,71,NA
2006,AUS,5,12500000000,1400000000,71,NA
2006,AUT,3,8700000000,3000000000,65,NA
2006,BEL,1,3000000000,3000000000,80,NA
2006,BHS,1,1600000000,1600000000,69,NA
2006,BRA,11,21700000000,1500000000,63,NA
2006,CAN,14,42400000000,2550000000,66.5,0
2006,CHE,15,96600000000,4400000000,68,NA
2006,CHL,1,4099999999.999999,4099999999.999999,60,NA
2006,CHN,6,7400000000,1150000000,46.5,NA
2006,COL,1,4400000000,4400000000,73,NA
2006,CYM,1,2400000000,2400000000,59,NA
2006,CZE,1,3000000000,3000000000,41,NA
2006,DEU,32,123800000000,2600000000,61.5,NA
2006,DNK,1,2800000000,2800000000,58,NA
2006,EGY,2,7400000000,3700000000,38,NA
2006,ESP,8,29800000000,2000000000,63,0
2006,FRA,12,79600000000,4050000000,62.5,NA
2006,GBR,24,102200000000,2650000000,54.5,NA
2006,HKG,19,77200000000,2100000000,58,0
