country_iso3,year,gdp
AFG,2000,3521418059.923445
AFG,2001,2813571753.8725324
AFG,2002,3825701438.999634
AFG,2003,4520946818.545814
AFG,2004,5224896718.67782
AFG,2005,6203256538.709669
AFG,2006,6971758282.293506
AFG,2007,9747886187.393929
AFG,2008,10109297047.543194
AFG,2009,12416152732.056717
AFG,2010,15856668555.833595
AFG,2011,17805098206.314083
AFG,2012,19907329777.58717
AFG,2013,20146416757.598675
AFG,2014,20497128555.69723
AFG,2015,19134221644.732494
AFG,2016,18116572395.077213
AFG,2017,18753456497.815865
AFG,2018,18053222687.412624
AFG,2019,18799444490.11278
AFG,2020,19955929052.149597
AFG,2021,14266499429.874573
AFG,2022,14502158192.090397
NA,1960,21216962289.557568
NA,1961,22307471355.677887
NA,1962,23702472100.00225
NA,1963,25779376632.72181
NA,1964,28049537324.857388
NA,1965,30374910059.50781
NA,1966,33049155473.49756
NA,1967,35933757401.763115
NA,1968,38749864977.02208
NA,1969,42964345101.172485
NA,1970,43702318276.33526
NA,1971,47632993912.83984
NA,1972,51627511756.53952
NA,1973,66610917871.45372
NA,1974,81658052383.2557
NA,1975,86883552689.31955
NA,1976,88290755580.51631
NA,1977,98868135189.60687
NA,1978,110802408134.92651
NA,1979,129780974539.91112
NA,1980,168165164238.41312
NA,1981,177750099368.1483
NA,1982,169302766914.39493
NA,1983,179897833535.12735
NA,1984,166208098815.07916
NA,1985,143249519478.30722
NA,1986,154792610860.847
NA,1987,185812458342.95532
NA,1988,202092611345.54083
NA,1989,214473497464.09412
NA,1990,251211844157.14008
NA,1991,273542601824.32535
NA,1992,239433170776.1275
NA,1993,240271389187.3809
NA,1994,243564813413.46655
NA,1995,273433056168.81357
NA,1996,272519342675.99292
NA,1997,288405283765.89685
NA,1998,268833638136.3681
NA,1999,265429291621.99844
NA,2000,287201651448.6776
NA,2001,260992227336.28116
NA,2002,267815037918.23975
NA,2003,355716369427.6711
NA,2004,442696185471.3294
NA,2005,516661066465.53375
NA,2006,580240749509.2242
NA,2007,665598701583.95
NA,2008,713502105052.1711
NA,2009,715485327250.4055
NA,2010,849409658737.6615
NA,2011,945439147816.6128
NA,2012,952675592818.5546
NA,2013,963347276805.0762
NA,2014,979689662429.07
NA,2015,899295676086.8356
NA,2016,829829959319.292
NA,2017,940105480733.6758
NA,2018,1012719339457.7202
NA,2019,1006527294483.0852
